Prompt,Response,Description,Testcase name
Generate a robot framework test case for testing to Validate Customer Unable To Create AutoPay For The Invoices that Past 500 days functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the customer is unable to create AutoPay for the invoices that past 500 days functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${INVOICE_DETAILS}          invoice_details

*** Test Cases ***
Validate Unable To Create AutoPay For The Invoices that Past 500 days
    [Documentation] Test case for validating that the customer is unable to create AutoPay for the invoices that past 500 days functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Attempt Create AutoPay For Past 500 Days Invoices ${INVOICE_DETAILS}
    Validate Unable To Create AutoPay",This test case checks the validation for being unable to create AutoPay for the invoices that past 500 days functionality of the PayNOW datadriver.,Validate Unable To Create AutoPay For The Invoices that Past 500 days
Generate a robot framework test case for testing to Validate Customer Unable To Create AutoPay For The Invoices That Due More Than 31 Days functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the customer is unable to create AutoPay for the invoices that due more than 31 days functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${INVOICE_DETAILS}          invoice_details

*** Test Cases ***
Validate Unable To Create AutoPay For The Invoices That Due More Than 31 Days
    [Documentation] Test case for validating that the customer is unable to create AutoPay for the invoices that due more than 31 days functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Attempt Create AutoPay For Due More Than 31 Days Invoices ${INVOICE_DETAILS}
    Validate Unable To Create AutoPay",This test case checks the validation for being unable to create AutoPay for the invoices that due more than 31 days functionality of the PayNOW datadriver.,Validate Unable To Create AutoPay For The Invoices That Due More Than 31 Days
Generate a robot framework test case for testing to Validate Customer Is Able To Schedule AutoPay Payments On A Daily Basis functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the customer is able to schedule AutoPay payments on a daily basis functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${AUTOPAY_DETAILS}          autopay_details

*** Test Cases ***
Validate Schedule AutoPay Payments On A Daily Basis
    [Documentation] Test case for validating that the customer is able to schedule AutoPay payments on a daily basis functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Schedule AutoPay Payments On A Daily Basis ${AUTOPAY_DETAILS}
    Validate AutoPay Scheduled",This test case checks the validation for scheduling AutoPay payments on a daily basis functionality of the PayNOW datadriver.,Validate Schedule AutoPay Payments On A Daily Basis
Generate a robot framework test case for testing to Validate Customer Is Able To Schedule AutoPay For Credit Card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the customer is able to schedule AutoPay for credit card functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${AUTOPAY_DETAILS}          autopay_details

*** Test Cases ***
Validate Schedule AutoPay For Credit Card
    [Documentation] Test case for validating that the customer is able to schedule AutoPay for credit card functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Schedule AutoPay For Credit Card ${AUTOPAY_DETAILS}
    Validate AutoPay Scheduled",This test case checks the validation for scheduling AutoPay for credit card functionality of the PayNOW datadriver.,Validate Schedule AutoPay For Credit Card
Generate a robot framework test case for testing to Validate Customer Is Able To Schedule AutoPay For Debit Card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the customer is able to schedule AutoPay for debit card functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${AUTOPAY_DETAILS}          autopay_details

*** Test Cases ***
Validate Schedule AutoPay For Debit Card
    [Documentation] Test case for validating that the customer is able to schedule AutoPay for debit card functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Schedule AutoPay For Debit Card ${AUTOPAY_DETAILS}
    Validate AutoPay Scheduled",This test case checks the validation for scheduling AutoPay for debit card functionality of the PayNOW datadriver.,Validate Schedule AutoPay For Debit Card
Generate a robot framework test case for testing to Validate Customer Is Able To Delete Saved AutoPay Schedule functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the customer is able to delete saved AutoPay schedule functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${AUTOPAY_DETAILS}          autopay_details

*** Test Cases ***
Validate Delete Saved AutoPay Schedule
    [Documentation] Test case for validating that the customer is able to delete saved AutoPay schedule functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Delete Saved AutoPay Schedule ${AUTOPAY_DETAILS}
    Validate AutoPay Schedule Deleted",This test case checks the validation for deleting saved AutoPay schedule functionality of the PayNOW datadriver.,Validate Delete Saved AutoPay Schedule
Generate a robot framework test case for testing to Validate Customer Is Able To Schedule AutoPay Payments on a Designated Monthly Date functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the customer is able to schedule AutoPay payments on a designated monthly date functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${AUTOPAY_DETAILS}          autopay_details

*** Test Cases ***
Validate Schedule AutoPay Payments on a Designated Monthly Date
    [Documentation] Test case for validating that the customer is able to schedule AutoPay payments on a designated monthly date functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Schedule AutoPay Payments on a Designated Monthly Date ${AUTOPAY_DETAILS}
    Validate AutoPay Scheduled",This test case checks the validation for scheduling AutoPay payments on a designated monthly date functionality of the PayNOW datadriver.,Validate Schedule AutoPay Payments on a Designated Monthly Date
Generate a robot framework test case for testing to Validate Non Integrated Customer Is Able To Process The Lump Sum Payment functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the non-integrated customer is able to process the lump sum payment functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${LUMP_SUM_PAYMENT_DETAILS} lump_sum_payment_details

*** Test Cases ***
Validate Process The Lump Sum Payment
    [Documentation] Test case for validating that the non-integrated customer is able to process the lump sum payment functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Process Lump Sum Payment ${LUMP_SUM_PAYMENT_DETAILS}
    Validate Payment Processed",This test case checks the validation for processing the lump sum payment functionality of the PayNOW datadriver.,Validate Process The Lump Sum Payment
Generate a robot framework test case for testing to Validate Non Integrated Customer Is Able To Process The Payment Only Against The Selected Invoice functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the non-integrated customer is able to process the payment only against the selected invoice functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details
${SELECTED_INVOICE_DETAILS} selected_invoice_details

*** Test Cases ***
Validate Process Payment Only Against The Selected Invoice
    [Documentation] Test case for validating that the non-integrated customer is able to process the payment only against the selected invoice functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Select Invoice For Payment ${SELECTED_INVOICE_DETAILS}
    Process Payment
    Validate Payment Processed Only For Selected Invoice",This test case checks the validation for processing the payment only against the selected invoice functionality of the PayNOW datadriver.,Validate Process Payment Only Against The Selected Invoice
Generate a robot framework test case for testing to Validate Non Integrated Customer Is Unable To Process The Payment Without Entering Routing Number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the non-integrated customer is unable to process the payment without entering routing number functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${CUSTOMER_DETAILS}         customer_details

*** Test Cases ***
Validate Unable To Process Payment Without Entering Routing Number
    [Documentation] Test case for validating that the non-integrated customer is unable to process the payment without entering routing number functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Attempt Process Payment Without Routing Number
    Validate Unable To Process Payment",This test case checks the validation for being unable to process the payment without entering routing number functionality of the PayNOW datadriver.,Validate Unable To Process Payment Without Entering Routing Number
