TestcaseName                                                                 ,KeywordName                                               ,Argument1         ,Argument2         ,Argument3 ,Documentation
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Send Request To Create Customer                           ,OMNICORP_MERCHANT ,3                 ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Send Request To Create Invoice For Customer               ,account_number    ,OMNICORP_MERCHANT ,        3 ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Generate Random Customer Details                          ,                  ,                  ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Launch PayNow Application                                 ,OMNICORP_MERCHANT ,                  ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Enter Account Number And Invoice                          ,account_number    ,invoice_number    ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Enter Customer Details                                    ,customer_details  ,OMNICORP_MERCHANT ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Select Payment Method                                     ,Credit Card       ,                  ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Enter Credit Card Details                                 ,2223000048400011  ,12/29             ,      123 ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Save Payment Method For Future Use                        ,Credit Card       ,Visa              ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Process Invoice Payment                                   ,                  ,                  ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Validate Payment Receipt Is Generated                     ,                  ,                  ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Return To Open Invoices Page                              ,                  ,                  ,          ,Process Payment Through Visa Credit Cards
TC_05 Validate Customer Is Able To Process Payment Through Visa Credit Cards ,Validate Account Number Exists Under Saved Payment Method ,2223              ,                  ,          ,Process Payment Through Visa Credit Cards
